date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:21	708/708	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202023%2016:10:20%20GMT	https://html.themewin.com/edurock-preview/edurock/shop-product.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/shop-product.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:22	10390/10390	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Nov%202022%2020:12:46%20GMT	https://html.themewin.com/edurock-preview/edurock/img/grid/cart2.jpg	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/grid/cart2.jpg	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:22	18772/18772	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Nov%202022%2020:13:10%20GMT	https://html.themewin.com/edurock-preview/edurock/img/grid/cart3.jpg	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/grid/cart3.jpg	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:22	708/708	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202023%2016:10:21%20GMT	https://html.themewin.com/edurock-preview/edurock/portfolio.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/portfolio.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:24	523762/523762	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Jul%202023%2001:30:22%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:24	206728/206728	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Jul%202023%2000:52:10%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider__2.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider__2.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:24	6917/6917	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202022%2005:45:36%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__1.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__1.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:24	3043/3043	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202022%2005:46:02%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__2.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__2.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:25	109856/109856	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Jul%202023%2001:40:46%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider__3.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__slider__3.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:25	3015/3015	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202022%2005:46:18%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__3.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__3.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:25	2975/2975	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202022%2005:47:06%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__4.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__4.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:25	2367/2367	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202022%2005:47:20%20GMT	https://html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__5.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/herobanner/herobanner__5.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:26	2950/2950	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2013:59:48%20GMT	https://html.themewin.com/edurock-preview/edurock/img/brand/brand_1.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/brand/brand_1.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:26	2982/2982	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2014:22:00%20GMT	https://html.themewin.com/edurock-preview/edurock/img/brand/brand_2.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/brand/brand_2.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:26	5307/5307	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2014:22:24%20GMT	https://html.themewin.com/edurock-preview/edurock/img/brand/brand_3.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/brand/brand_3.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:26	3350/3350	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2014:22:48%20GMT	https://html.themewin.com/edurock-preview/edurock/img/brand/brand_4.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/brand/brand_4.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:27	1450/1450	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2014:23:06%20GMT	https://html.themewin.com/edurock-preview/edurock/img/brand/brand_5.png	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/brand/brand_5.png	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:28	154592/154592	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:21:34%20GMT	https://html.themewin.com/edurock-preview/edurock/ecommerce/product-details.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/ecommerce/product-details.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
